trade_date,decision_time,entry_time,benchmark,leader,laggard,members,leader_return,laggard_return,leader_laggard_gap,conditional_lower_tail,frozen_rho,candidate_gross_return,peer_control_gross_return,paired_gross_edge
2026-05-25,2026-05-25T13:30:00+08:00,2026-05-25T13:35:00+08:00,NDX,513300,513110,"['513100', '513300', '513110', '513390', '513870']",0.0026365233739560345,0.0,0.0026365233739560345,0.03809086844426779,0.6955044115155107,0.0020425304470659267,0.0017421175113414566,0.00030041293572447003
2026-05-25,2026-05-25T14:00:00+08:00,2026-05-25T14:05:00+08:00,931573,513860,513560,"['513980', '513020', '513860', '513150', '513560']",0.0031898467903894723,-0.0008546389379735508,0.004044485728363023,0.007035375180878822,0.9068930781737812,0.002564120590491603,0.0,0.002564120590491603
2026-05-26,2026-05-26T10:00:00+08:00,2026-05-26T10:05:00+08:00,931573,513150,513020,"['513980', '513020', '513860', '513150', '513560']",0.008990952360707016,0.005102035851341613,0.0038889165093654032,0.049805803691310435,0.9290334894761685,0.0030333279152772175,0.0004926338641063621,0.0025406940511708553
2026-05-27,2026-05-27T10:00:00+08:00,2026-05-27T10:05:00+08:00,NDX,513870,513300,"['513100', '513300', '513110', '513390', '513870']",0.0028804810950544546,-0.0007391328136818753,0.00361961390873633,0.0007060175995891593,0.7192707437612429,0.0,0.0002050360770630144,-0.0002050360770630144
2026-05-28,2026-05-28T10:30:00+08:00,2026-05-28T10:35:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.002282115233108284,-0.0009741135253363842,0.003256228758444668,0.004355952450246003,0.7662782614982533,-0.0019521466340568505,-0.0038648829248446037,0.0019127362907877532
2026-05-28,2026-05-28T13:30:00+08:00,2026-05-28T13:35:00+08:00,HSSCPB,520690,520880,"['520880', '520690']",0.0029411385731716866,0.0,0.0029411385731716866,0.04224593141395239,0.8681019665293025,0.0,-0.0014619694489602653,0.0014619694489602653
2026-05-28,2026-05-28T14:00:00+08:00,2026-05-28T14:05:00+08:00,931637,520650,513770,"['513040', '513770', '520650']",0.004784722653967677,0.0,0.004784722653967677,0.022722434182639972,0.8088986901819207,0.0,0.001805803488938884,-0.001805803488938884
2026-05-29,2026-05-29T10:00:00+08:00,2026-05-29T10:05:00+08:00,NDX,513300,513100,"['513100', '513300', '513110', '513390', '513870']",0.005510692705853915,0.0004446098214883065,0.005066082884365608,0.02786870956753862,0.6544647509967851,0.0022261246249764,0.0011410317583909757,0.0010850928665854243
2026-05-29,2026-05-29T10:30:00+08:00,2026-05-29T10:35:00+08:00,931637,513040,520650,"['513040', '513770', '520650']",0.0030426176232074553,0.0,0.0030426176232074553,0.0045288860078563364,0.8878653741191584,0.0,0.00101318838836284,-0.00101318838836284
2026-05-29,2026-05-29T10:30:00+08:00,2026-05-29T10:35:00+08:00,931573,513980,513860,"['513980', '513020', '513860', '513150', '513560']",0.0031846722674782058,0.0,0.0031846722674782058,0.0228480352037414,0.865904918993439,-0.003189751727156298,-0.0032432428558535897,5.349112869729167e-05
2026-06-01,2026-06-01T10:00:00+08:00,2026-06-01T10:05:00+08:00,NDX,513300,513870,"['513300', '513110', '513390', '513870']",0.003921539294908349,-0.0004605838410847163,0.004382123135993066,0.0006389116881709844,0.7192707437612429,-0.0032243065270023408,-0.003940106399688004,0.0007157998726856629
2026-06-01,2026-06-01T10:00:00+08:00,2026-06-01T10:05:00+08:00,N225,513880,513520,"['513520', '513880', '513000']",0.005570958802399328,-0.000872260564786842,0.00644321936718617,0.0009562073940435623,0.7662782614982533,0.0026166777176572786,0.0004450689034702915,0.002171608814186987
2026-06-02,2026-06-02T14:00:00+08:00,2026-06-02T14:05:00+08:00,931637,513040,520650,"['513040', '513770', '520650']",0.004633915893702767,0.001459835214476124,0.003174080679226643,0.021564730678976296,0.8878653741191584,0.0029155012915786926,0.0009234042300256817,0.001992097061553011
2026-06-03,2026-06-03T10:30:00+08:00,2026-06-03T10:35:00+08:00,931722,520990,520900,"['520990', '520660', '520900']",0.0028680888813519267,0.0,0.0028680888813519267,0.015714196089088306,0.8179905392510214,-0.00187802192734432,-0.0009519331305236078,-0.0009260887968207121
2026-06-04,2026-06-04T10:00:00+08:00,2026-06-04T10:05:00+08:00,931573,513980,513020,"['513980', '513020', '513860', '513150', '513560']",0.0031447074306845124,-0.0010111695726793268,0.004155877003363839,0.0004159743858457854,0.8931551384575568,-0.0020222788777717327,-0.0027469881934447105,0.0007247093156729778
2026-06-05,2026-06-05T10:00:00+08:00,2026-06-05T10:05:00+08:00,931573,513560,513020,"['513980', '513020', '513860', '513150', '513560']",0.004258939630345626,0.0020470565554737696,0.0022118830748718565,0.028751101561001746,0.9252861123852076,-0.002049214992790982,-0.0030828050508152627,0.0010335900580242807
2026-06-05,2026-06-05T10:30:00+08:00,2026-06-05T10:35:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.0030224393473836653,0.0,0.0030224393473836653,0.025818096234649923,0.7662782614982533,-0.002287334946130648,-0.0030036951561895897,0.0007163602100589417
2026-06-08,2026-06-08T10:30:00+08:00,2026-06-08T10:35:00+08:00,931637,520650,513770,"['513040', '513770', '520650']",0.00475439154471724,0.0,0.00475439154471724,0.023203932560281026,0.8088986901819207,0.005405416290110265,0.0056846750020637105,-0.0002792587119534451
2026-06-08,2026-06-08T14:00:00+08:00,2026-06-08T14:05:00+08:00,931573,513560,513860,"['513980', '513020', '513860', '513150', '513560']",0.003581081261355923,0.0016778307030118622,0.0019032505583440607,0.044357783693225794,0.9068930781737812,0.0016750203025199806,-0.0009802323153028092,0.0026552526178227898
2026-06-09,2026-06-09T10:00:00+08:00,2026-06-09T10:05:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.0026189621350483083,-0.00047468717888599077,0.003093649313934299,0.010296973942468701,0.7662782614982533,-0.0023685998561582267,-0.0021635780755803746,-0.00020502178057785203
2026-06-09,2026-06-09T10:30:00+08:00,2026-06-09T10:35:00+08:00,931573,513150,513980,"['513980', '513020', '513860', '513150', '513560']",0.0031250219248861733,0.0,0.0031250219248861733,0.007653549258498593,0.8870302599697719,0.0066335127765968505,0.0047160545460397385,0.001917458230557112
2026-06-09,2026-06-09T14:00:00+08:00,2026-06-09T14:05:00+08:00,931250,513780,520700,"['513780', '520700', '520970']",0.0023847543260511195,0.0008243425160843199,0.0015604118099667996,0.04330967338301567,0.9572687897476824,0.00164742526588868,0.0019268520479704954,-0.00027942678208181526
2026-06-11,2026-06-11T13:30:00+08:00,2026-06-11T13:35:00+08:00,931637,513040,520650,"['513040', '513770', '520650']",0.0020725739997862203,-0.0016155843320481145,0.0036881583318343347,0.00021952742856751195,0.8878653741191584,-0.004846560412483436,-0.004825224004395501,-2.1336408087935244e-05
2026-06-11,2026-06-11T13:30:00+08:00,2026-06-11T13:35:00+08:00,HSSCPB,520690,520880,"['520880', '520690']",0.004862270761206489,0.0,0.004862270761206489,0.006451876505224496,0.8681019665293025,0.002624638040637395,0.001612882447912689,0.0010117555927247057
2026-06-12,2026-06-12T10:00:00+08:00,2026-06-12T10:05:00+08:00,HSSCT,520980,513160,"['520980', '513160']",0.003344438491363233,0.0010131581935068912,0.002331280297856342,0.010077537533559111,0.9348795368016751,-0.007084989529068442,-0.008888840910827867,0.0018038513817594248
2026-06-12,2026-06-12T10:00:00+08:00,2026-06-12T10:05:00+08:00,931573,513560,513980,"['513980', '513020', '513860', '513150', '513560']",0.00446029884204302,0.0016611081869850608,0.0027991906550579593,0.027305182531929817,0.8955279986279852,-0.0033167069648770697,-0.004734543597831042,0.0014178366329539727
2026-06-12,2026-06-12T14:00:00+08:00,2026-06-12T14:05:00+08:00,HSSCPB,520690,520880,"['520880', '520690']",0.0031201777538905073,0.0,0.0031201777538905073,0.035653063632649584,0.8681019665293025,0.0,0.0,0.0
2026-06-15,2026-06-15T10:30:00+08:00,2026-06-15T10:35:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.0024967970256315475,0.0,0.0024967970256315475,0.04101250625768965,0.7662782614982533,0.00045041779633581136,0.00020758945051690958,0.00024282834581890178
2026-06-15,2026-06-15T14:00:00+08:00,2026-06-15T14:05:00+08:00,HSTECH,513180,513260,"['513130', '513180', '513010', '513260', '513380']",0.0033332902855360835,0.0,0.0033332902855360835,0.007862439815762623,0.8911395236042204,0.0008658413461588577,0.0008064412239563445,5.940012220251312e-05
2026-06-15,2026-06-15T14:00:00+08:00,2026-06-15T14:05:00+08:00,931637,513040,520650,"['513040', '513770', '520650']",0.004119472751193731,0.0016025434371227387,0.0025169293140709925,0.04380868061512394,0.8878653741191584,-0.0015999794006347212,-0.00084530713348685,-0.0007546722671478712
2026-06-16,2026-06-16T10:30:00+08:00,2026-06-16T10:35:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.007790100144605461,0.0013357172359962366,0.006454382908609224,0.016624341846203816,0.7662782614982533,-0.0004442148169472304,0.0004027571217639081,-0.0008469719387111385
2026-06-18,2026-06-18T10:30:00+08:00,2026-06-18T10:35:00+08:00,HSTECH,513380,513010,"['513130', '513180', '513010', '513260', '513380']",0.0038022322505080197,0.0,0.0038022322505080197,0.02377438622072181,0.8307562602508719,0.0,0.0004253410154484438,-0.0004253410154484438
